"","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"4022","10/27/2006","2:54:00","MANHATTAN",34,0,"MULTI DWELL - APT BUILD","true","25-44","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC","1003585","251292",40.856400421,-73.9301067119999,"POINT (-73.93010671199994 40.856400421000046)"
"4026","01/11/2007","14:23:00","BROOKLYN",67,0,"MULTI DWELL - APT BUILD","false","<18","M","BLACK","<18","M","BLACK","1004204","178880",40.6576467030001,-73.928083965,"POINT (-73.92808396499998 40.65764670300007)"
"4031","05/31/2017","13:10:00","BRONX",47,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC","1027110","262158",40.886141362,-73.8449960199999,"POINT (-73.84499601999994 40.88614136200005)"
"4036","05/04/2006","17:32:00","BROOKLYN",71,0,"MULTI DWELL - APT BUILD","false","<18","F","BLACK","25-44","M","BLACK","995271","178091",40.6554966940001,-73.960281241,"POINT (-73.96028124099996 40.65549669400008)"
"4041","11/09/2014","5:02:00","MANHATTAN",9,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC","990808","202418",40.722273155,-73.976342426,"POINT (-73.97634242599996 40.72227315500004)"
"4044","01/26/2017","16:30:00","MANHATTAN",32,0,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","1001752","241629",40.8298821390001,-73.9367581,"POINT (-73.93675809999998 40.82988213900006)"
"4051","09/26/2017","16:20:00","MANHATTAN",13,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK HISPANIC","<18","M","WHITE HISPANIC","989865","209425",40.741506303,-73.979738601,"POINT (-73.97973860099995 40.741506303000044)"
"4053","02/06/2011","4:22:00","QUEENS",113,0,"PVT HOUSE","true","18-24","M","BLACK","25-44","F","BLACK","1048805","189546",40.686709557,-73.767233018,"POINT (-73.76723301799996 40.68670955700002)"
"4054","08/26/2006","22:43:00","MANHATTAN",32,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","F","BLACK","1000602","237700",40.8191003540001,-73.940923191,"POINT (-73.94092319099997 40.81910035400006)"
"4060","11/14/2010","2:00:00","MANHATTAN",25,0,"COMMERCIAL BLDG","false","18-24","M","BLACK","18-24","F","BLACK","1001372","231233",40.8013487750001,-73.938157748,"POINT (-73.93815774799998 40.80134877500007)"
